Part,Value,Device,Package,Description,MPN,DKN,,,Manu
R18,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R19,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R20,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R21,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R22,10k,R-US_R0603,R0603,"RESISTOR, American symbol",MCT06030C1002FP500,MCT0603-10.0K-CFCT-ND,,,
R23,,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,
R24,10k,R-US_R0603,R0603,"RESISTOR, American symbol",CRCW060310K0JNEA,541-10KGCT-ND,,,
R25,10k,R-US_R0603,R0603,"RESISTOR, American symbol",CRCW060310K0JNEA,541-10KGCT-ND,,,
R26,,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,
R27,,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,
R28,,R-US_R0603,R0603,"RESISTOR, American symbol",,,,,
R29,10k,R-US_R0603,R0603,"RESISTOR, American symbol",CRCW060310K0JNEA,541-10KGCT-ND,,,
R30,100k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603JT100K,RMCF0603JT100KCT-ND,,,
R31,260k,R-US_R0603,R0603,"RESISTOR, American symbol",P261KHCT-ND,ERJ-3EKF2613V,,,
R32,2k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603JT2K00,RMCF0603JT2K00CT-ND,,,
R33,2k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603JT2K00,RMCF0603JT2K00CT-ND,,,
R34,10k,R-US_R0603,R0603,"RESISTOR, American symbol",CRCW060310K0JNEA,541-10KGCT-ND,,,
R35,10k,R-US_R0603,R0603,"RESISTOR, American symbol",CRCW060310K0JNEA,541-10KGCT-ND,,,
R36,10k,TRIM_US-,M84-TRIMMER,POTENTIOMETER,84PR10KLF,987-1152-ND,,,
R37,4.75k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603FT4K75,RMCF0603FT4K75CT-ND,,,
R38,4.75k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603FT4K75,RMCF0603FT4K75CT-ND,,,
R39,4.75k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603FT4K75,RMCF0603FT4K75CT-ND,,,
R40,10k,R-US_R0603,R0603,"RESISTOR, American symbol",CRCW060310K0JNEA,541-10KGCT-ND,,,
R41,5.6k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603JT5K60,RMCF0603JT5K60CT-ND,,,
R42,5.6k,R-US_R0603,R0603,"RESISTOR, American symbol",RMCF0603JT5K60,RMCF0603JT5K60CT-ND,,,
